file,import-purity,decode-never-cast,effects-are-values,no-third-party-di,no-third-party-stream,typed-errors-never-throw,pure-core-one-path,platform-io-boundary,no-class-as-service,composition-root-uniqueness,target-idiom-adoption,package-identity,capability-cohesion,dependency-direction,deletability,gate-reach
packages/testing/mutation/stryker-js/cli/src/__tests__/Survivors.workflow.property.test.ts,clean,clean,clean,clean,clean,clean,SURVIVED F16 class :230,clean,SURVIVED F18 class :91,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/src/main.ts,clean,clean,clean,clean,clean,SURVIVED F15 class :19,SURVIVED F16 class :18,clean,SURVIVED F18 class :50,SURVIVED F19 class :48,SURVIVED F20 class :29,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/tests/__fixtures__/StrykerCliAdapter.ts,clean,clean,clean,clean,clean,clean,clean,clean,"SURVIVED F18 class :17,46,47",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/tests/__fixtures__/global-setup.ts,"OBSERVATION (F9: fixture scope, FP10; re-check 2026-11-01)",clean,"SURVIVED F12 class :72,115,213",clean,clean,SURVIVED F15 class :134,"SURVIVED F16 class :98,99,101,125","SURVIVED F17 class :3,2,5,6","SURVIVED F18 class :144,187","SURVIVED F19 class :116,214","SURVIVED F20 class :97,117,215",clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/tests/cli-contract.integration.test.ts,clean,clean,clean,clean,clean,SURVIVED F15 class :128,"SURVIVED F16 class :128,680,103,307",clean,clean,clean,"SURVIVED F20 class :45,55,87",clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/tsdown.config.ts,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F18 class :17,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/oxlint.config.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F30 class :1
packages/testing/mutation/stryker-js/instrumenter/src/create-instrumenter.ts,clean,clean,clean,"SURVIVED F13 class :1,16,18",clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/disable-type-checks.ts,clean,"SURVIVED F10,F11,F25,F26,F28 class :14,69,79,81","SURVIVED F12 class :20,23",clean,clean,"SURVIVED F15 class :88,96,168,172","SURVIVED F16 class :25,29,65,68",clean,"SURVIVED F18 class :114,133,152",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/frameworks/angular-ignorer.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :20,24,44,69",clean,SURVIVED F18 class :18,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/instrumenter.ts,clean,clean,SURVIVED F12 class :40,"SURVIVED F13 class :5,24,23",clean,clean,"SURVIVED F16 class :62,84,49",clean,"SURVIVED F18 class :22,64",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutant-placers/expression-mutant-placer.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :20,24,53,198",clean,"SURVIVED F18 class :192,199",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutant-placers/mutant-placer.ts,clean,clean,clean,clean,clean,SURVIVED F15 class :24,SURVIVED F16 class :23,clean,SURVIVED F18 class :20,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutant-placers/statement-mutant-placer.ts,clean,clean,clean,clean,clean,clean,SURVIVED F16 class :25,clean,SURVIVED F18 class :26,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutant-placers/switch-case-mutant-placer.ts,clean,clean,clean,clean,clean,clean,SURVIVED F16 class :29,clean,SURVIVED F18 class :31,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutant-placers/throw-placement-error.ts,clean,clean,clean,clean,clean,"SURVIVED F15 class :36,39",clean,clean,SURVIVED F18 class :38,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutant.ts,clean,clean,clean,clean,clean,"SURVIVED F15 class :37,81","SURVIVED F16 class :36,64,73,80",clean,"SURVIVED F18 class :15,76,103",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/arithmetic-operator-mutator.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :21,37,46",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/array-declaration-mutator.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :13,19",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/arrow-function-mutator.ts,clean,clean,clean,clean,clean,clean,SURVIVED F16 class :11,clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/assignment-operator-mutator.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :31,52",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/block-statement-mutator.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :11,80",clean,SURVIVED F18 class :82,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/boolean-literal-mutator.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :13,16",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/conditional-expression-mutator.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :26,32,36,43",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/equality-operator-mutator.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :27,28",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/logical-operator-mutator.ts,clean,clean,clean,clean,clean,clean,SURVIVED F16 class :17,clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/method-expression-mutator.ts,"DISMISSED (F8: inert literal Map, FP1)",clean,clean,clean,clean,clean,"SURVIVED F16 class :37,46,51,62",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/object-literal-mutator.ts,clean,clean,clean,clean,clean,clean,SURVIVED F16 class :11,clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/optional-chaining-mutator.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :23,31",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/regex-mutator.ts,clean,clean,clean,clean,clean,"SURVIVED F15 class :63,67","SURVIVED F16 class :24,36,51,62",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/string-literal-mutator.ts,clean,clean,clean,clean,clean,SURVIVED F15 class :14,"SURVIVED F16 class :11,13,24",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/unary-operator-mutator.ts,clean,clean,clean,clean,clean,clean,SURVIVED F16 class :19,clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/mutators/update-operator-mutator.ts,clean,clean,clean,clean,clean,clean,SURVIVED F16 class :18,clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/parsers/create-parser.ts,clean,clean,"SURVIVED F12 class :18,19,27,32",clean,clean,"SURVIVED F15 class :41,58","SURVIVED F16 class :39,70,45,74",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/parsers/html-parser.ts,clean,clean,"SURVIVED F12 class :26,30,45,88",clean,clean,"SURVIVED F15 class :57,59,91,102","SURVIVED F16 class :54,56,70,90",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/parsers/js-parser.ts,clean,clean,SURVIVED F12 class :58,clean,clean,"SURVIVED F15 class :27,68,73","SURVIVED F16 class :21,24,67,72",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/parsers/parse-error.ts,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F18 class :3,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/parsers/parser-context.ts,clean,clean,SURVIVED F12 class :8,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/parsers/svelte-parser.ts,clean,clean,"SURVIVED F12 class :111,115,252,263",clean,clean,"SURVIVED F15 class :124,141,151,223","SURVIVED F16 class :84,92,96,123",clean,"SURVIVED F18 class :70,71,72,73",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/parsers/ts-parser.ts,clean,clean,"SURVIVED F12 class :14,23,14,26",clean,clean,"SURVIVED F15 class :59,64","SURVIVED F16 class :58,63",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/printers/html-printer.ts,clean,clean,clean,clean,clean,"SURVIVED F15 class :8,16","SURVIVED F16 class :7,15,27",clean,SURVIVED F18 class :32,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/printers/index.ts,clean,clean,clean,clean,clean,clean,SURVIVED F16 class :21,clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/printers/svelte-printer.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :15,14",clean,"SURVIVED F18 class :20,26",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/syntax/index.ts,clean,clean,clean,clean,clean,clean,clean,clean,"SURVIVED F18 class :5,6,7,8",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/transformers/babel-transformer.ts,clean,"SURVIVED F10,F11,F25,F26,F28 class :66",clean,clean,clean,"SURVIVED F15 class :82,87,210,144","SURVIVED F16 class :70,75,77,79",clean,"SURVIVED F18 class :34,35,132,207",clean,clean,clean,clean,clean,"SURVIVED F24,F29 class :66",clean
packages/testing/mutation/stryker-js/instrumenter/src/transformers/directive-bookkeeper.ts,clean,clean,clean,clean,clean,"SURVIVED F15 class :89,174,200","SURVIVED F16 class :33,76,81,88",clean,"SURVIVED F18 class :16,40,59,64",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/transformers/ignorer-bookkeeper.ts,clean,"SURVIVED F10,F11,F25,F26,F28 class :6",clean,clean,clean,clean,"SURVIVED F16 class :26,29,37",clean,SURVIVED F18 class :13,clean,clean,clean,clean,clean,"SURVIVED F24,F29 class :6",clean
packages/testing/mutation/stryker-js/instrumenter/src/transformers/mutant-collector.ts,clean,clean,clean,clean,clean,clean,clean,clean,"SURVIVED F18 class :6,26",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/transformers/svelte-transformer.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :31,35",clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/transformers/transformer.ts,clean,clean,clean,clean,clean,clean,SURVIVED F16 class :29,clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/util/babel-file.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F21 class,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/util/babel-generator.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F21 class,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/util/binary-operator.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F21 class,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/util/index.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F21 class,clean,clean,clean,clean
packages/testing/mutation/stryker-js/instrumenter/src/util/position-converter.ts,clean,"SURVIVED F10,F11,F25,F26,F28 class :56,58,66,72",clean,clean,clean,"SURVIVED F15 class :22,42,96","SURVIVED F16 class :11,21,32,41",clean,"SURVIVED F18 class :8,40,63,69",clean,clean,SURVIVED F21 class,clean,clean,"SURVIVED F24,F29 class :56,58,66,72",clean
packages/testing/mutation/stryker-js/instrumenter/src/util/syntax-helpers.ts,clean,clean,clean,clean,clean,"SURVIVED F15 class :58,70,260","SURVIVED F16 class :26,42,56,57",clean,"SURVIVED F18 class :43,264",clean,clean,SURVIVED F21 class,clean,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/oxlint.config.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,SURVIVED F30 class :1
packages/testing/mutation/stryker-js/mutation-report/src/clear-text-reporter.ts,clean,clean,clean,"SURVIVED F13 class :17,5,24,24",clean,clean,"SURVIVED F16 class :43,54,57,60",clean,"SURVIVED F18 class :23,89,96,174",clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/src/clear-text-score-table.ts,clean,clean,clean,clean,clean,SURVIVED F15 class :155,"SURVIVED F16 class :121,155,162,272",clean,"SURVIVED F18 class :36,77,97,133",clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/src/html-reporter.ts,clean,clean,"SURVIVED F12 class :15,31,47","SURVIVED F13 class :8,23,24",clean,clean,clean,clean,SURVIVED F18 class :14,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/src/index.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/src/json-reporter.ts,clean,clean,"SURVIVED F12 class :14,42","SURVIVED F13 class :5,34,35",clean,clean,clean,clean,SURVIVED F18 class :13,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/src/progress-bar.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/src/progress-keeper.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :50,68,71,74",clean,"SURVIVED F18 class :17,22",clean,clean,clean,SURVIVED F22 class,SURVIVED F23 class,clean,clean
packages/testing/mutation/stryker-js/mutation-report/src/progress-reporter.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :34,47",clean,"SURVIVED F18 class :7,18",clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/src/progress-stream-reporter.ts,clean,clean,clean,"SURVIVED F13 class :4,2,22,27",clean,clean,SURVIVED F16 class :45,clean,"SURVIVED F18 class :21,24,25",clean,clean,clean,SURVIVED F22 class,SURVIVED :6-8 (F23),clean,clean
packages/testing/mutation/stryker-js/mutation-report/src/render-text.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :12,20,41",clean,SURVIVED F18 class :42,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/src/report-type.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/src/reporter-util.ts,clean,clean,"SURVIVED F12 class :5,16",clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/src/stryker-plugins.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/tests/__fixtures__/stryker-plugins.schema.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/tests/stryker-plugins.integration.test.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/tsdown.config.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-report/vitest.config.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/oxlint.config.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,SURVIVED :1 (F30)
packages/testing/mutation/stryker-js/mutation-run/src/checker/checker-child-process-proxy.ts,clean,clean,"SURVIVED F12 class :40,44",SURVIVED F13 class :4,clean,clean,clean,clean,SURVIVED F18 class :15,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/checker/checker-facade.ts,clean,DISMISSED (F27: tuple-arity annotation on a locally built literal),"SURVIVED F12 class :18,62",clean,clean,"SURVIVED F15 class :33,49,77,92","SURVIVED F16 class :32,44,76,88",clean,SURVIVED F18 class :14,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/checker/checker-factory.ts,clean,clean,clean,"SURVIVED F13 class :3,15,16,19",clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/checker/checker-resource.ts,clean,clean,"SURVIVED F12 class :10,11",clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/checker/checker-retry-decorator.ts,clean,clean,SURVIVED F12 class :32,clean,clean,"SURVIVED F15 class :33,35","SURVIVED F16 class :36,37",clean,"SURVIVED F18 class :10,12",clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/checker/checker-worker.ts,clean,clean,"SURVIVED F12 class :22,37,44","SURVIVED F13 class :3,13,13",clean,"SURVIVED F15 class :27,59,24,26","SURVIVED F16 class :56,23",clean,SURVIVED F18 class :10,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/checker/index.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/base-preset.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/config-document.schema.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/config-file-formats.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :7,8,9",clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/config-reader.ts,clean,clean,"SURVIVED F12 class :38,63,77,99","SURVIVED F13 class :7,53,52",clean,"SURVIVED F15 class :104,123,148,164","SURVIVED F16 class :43,69,79,91",clean,"SURVIVED F18 class :51,203",clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/config-resolution.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/extends-step.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :95,100,170,94",clean,clean,clean,"SURVIVED F20 class :200,204",clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/file-matcher.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :16,26",clean,SURVIVED F18 class :9,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/fork-schema.schema.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/fork-schema.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/index.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/is-warning-enabled.ts,clean,clean,clean,clean,clean,clean,SURVIVED F16 class :15,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/meta-schema-builder.ts,clean,clean,clean,"SURVIVED F13 class :2,10,8",clean,clean,clean,clean,SURVIVED F18 class :7,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/module-loader.ts,clean,clean,SURVIVED F12 class :9,clean,clean,clean,SURVIVED F16 class :10,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/options-path.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/options-validator.ts,clean,clean,clean,"SURVIVED F13 class :6,54",clean,SURVIVED F15 class :338,"SURVIVED F16 class :76,95,100,102",clean,"SURVIVED F18 class :51,70",clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/removed-surface.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/resolve-extends.ts,clean,clean,"SURVIVED F12 class :16,96,16,99",clean,clean,"SURVIVED F15 class :23,32,38,52","SURVIVED F16 class :18,37,58,119",clean,"SURVIVED F18 class :21,30,48,117",clean,SURVIVED F20 class :139,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/config/validation-errors.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :13,25,27,51",clean,"SURVIVED F18 class :55,59",clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/errors.ts,clean,clean,clean,SURVIVED F13 class :2,clean,clean,SURVIVED F16 class :7,clean,SURVIVED F18 class :4,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/exit-classification.ts,SURVIVED :13 (F4),clean,clean,clean,clean,clean,"SURVIVED F16 class :38,43,42",clean,"SURVIVED F18 class :7,8,9,10",clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/index.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/logging/index.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/logging/log-level.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/logging/logger-impl.ts,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F18 class :6,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/logging/logging-backend.ts,clean,clean,clean,SURVIVED F13 class :3,clean,clean,"SURVIVED F16 class :31,36,64,67",clean,"SURVIVED F18 class :16,17,18",clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/logging/logging-client.ts,clean,clean,SURVIVED F12 class :51,clean,clean,SURVIVED F15 class :39,"SURVIVED F16 class :38,43,52",clean,SURVIVED F18 class :11,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/logging/logging-event.schema.ts,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
packages/testing/mutation/stryker-js/mutation-run/src/logging/logging-event.ts,SURVIVED F1..F5 class :11,clean,clean,clean,clean,clean,clean,clean,SURVIVED F18 class :13,clean,clean,clean,SURVIVED F22 class,clean,clean,clean
